Stkcd,Reptdt,S0301a,,,,,S0302a,S0303a,S0304a,S0305a,S0306a
000004,2018-09-30,邵国勇,,,,,2557164 ,3,3.05,流通A股,6
000004,2018-09-30,中银国际证券,中国银行,中银证券中国红,汇中2号集合资产管理计划,,2106237 ,3,2.51,流通A股,7
000004,2018-09-30,周建新,,,,,2026113 ,3,2.41,流通A股,8
000004,2018-09-30,中银国际证券,中国银行,中银证券中国红,汇中1号集合资产管理计划,,1772367 ,3,2.11,流通A股,9
000004,2018-09-30,汪国新,,,,,1506107 ,3,1.79,流通A股,10
000005,2018-09-30,中国投资有限公司,,,,,184240445 ,1,17.41,流通A股,1
000005,2018-09-30,深圳市博睿意碳源科技有限公司,,,,,47945310 ,1,4.53,"未流通股,流通A股",2
000005,2018-09-30,陈栩,,,,,21059496 ,3,1.99,"未流通股,流通A股",3
000005,2018-09-30,许培雅,,,,,19820712 ,1,1.87,未流通股,4
000005,2018-09-30,上海勤幸投资管理中心(有限合伙),,,,,10695187 ,3,1.01,未流通股,5
000005,2018-09-30,深圳市城市建设开发(集团)有限公司,,,,,10431400 ,3,0.99,流通A股,6
000005,2018-09-30,杭州环博投资有限公司,,,,,7574795 ,3,0.72,未流通股,7
000005,2018-09-30,陈振新,,,,,6575342 ,1,0.62,未流通股,8
000005,2018-09-30,浙江赛盛投资合伙企业(有限合伙),,,,,5260274 ,3,0.5,流通A股,9
000005,2018-09-30,杭州智耀投资合伙企业(有限合伙),,,,,4893562 ,1,0.46,未流通股,10
000006,2018-09-30,深圳市人民政府国有资产监督管理委员会,,,,,296031373 ,3,21.93,流通A股,1
000006,2018-09-30,深圳市远致投资有限公司,,,,,162966811 ,3,12.07,流通A股,2
000006,2018-09-30,中央汇金资产管理有限责任公司,,,,,47368200 ,3,3.51,流通A股,3
000006,2018-09-30,中国证券金融股份有限公司,,,,,14598400 ,3,1.08,流通A股,4
000006,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,8381354 ,3,0.62,流通A股,5
000006,2018-09-30,张德锋,,,,,6902900 ,3,0.51,流通A股,6
000006,2018-09-30,廖晔,,,,,6789500 ,3,0.5,流通A股,7
000006,2018-09-30,聂智,,,,,5500000 ,3,0.41,流通A股,8
000006,2018-09-30,曾运龙,,,,,4645200 ,3,0.34,流通A股,9
000006,2018-09-30,江珠,,,,,4000000 ,3,0.3,流通A股,10
000007,2018-09-30,汉富控股有限公司,,,,,75000127 ,1,21.65,流通A股,1
000007,2018-09-30,深圳市博恒投资有限公司,,,,,37500000 ,3,10.82,未流通股,2
000007,2018-09-30,陈卓婷,,,,,13493872 ,3,3.89,流通A股,3
000007,2018-09-30,北京朴和恒丰投资有限公司,,,,,10681711 ,3,3.08,流通A股,4
000007,2018-09-30,王昕,,,,,6298001 ,3,1.82,流通A股,5
000007,2018-09-30,朱玥利,,,,,5062044 ,3,1.46,流通A股,6
000007,2018-09-30,广州博融投资有限公司,,,,,3899922 ,3,1.13,流通A股,7
000007,2018-09-30,北京电子城有限责任公司,,,,,3615000 ,3,1.04,流通A股,8
000007,2018-09-30,赵秀华,,,,,3210401 ,3,0.93,流通A股,9
000007,2018-09-30,阳德惠,,,,,2436100 ,3,0.7,流通A股,10
000008,2018-09-30,北京市海淀区国有资产投资经营有限公司,,,,,350000000 ,3,12.42,流通A股,1
000008,2018-09-30,王志全,,,,,203690850 ,1,7.23,"未流通股,流通A股",2
000008,2018-09-30,杭州霁云投资管理合伙企业(有限合伙),,,,,141534348 ,1,5.02,流通A股,3
000008,2018-09-30,北京银叶金光投资合伙企业(有限合伙),,,,,80142826 ,3,2.84,流通A股,4
000008,2018-09-30,民生证券,兴业银行,民生稳赢2号集合资产管理计划,,,60353260 ,3,2.14,流通A股,5
000008,2018-09-30,王新宇,,,,,53411701 ,1,1.9,流通A股,6
000008,2018-09-30,北京汇宝金源投资管理中心(有限合伙),,,,,50640276 ,3,1.8,流通A股,7
000008,2018-09-30,上海豪石九鼎股权投资基金合伙企业(有限合伙),,,,,43746226 ,3,1.55,流通A股,8
000008,2018-09-30,平安大华基金,平安银行,平安大华平安金橙财富102号资产管理计划,,,38822185 ,3,1.38,流通A股,9
000008,2018-09-30,鹏华资产,浦发银行,鹏华资产方圆6号资产管理计划,,,37277853 ,3,1.32,流通A股,10
000009,2018-09-30,深圳市富安控股有限公司,,,,,256013898 ,1,11.91,流通A股,1
000009,2018-09-30,深圳市宝安区投资管理有限公司,,,,,119787377 ,3,5.57,流通A股,2
000009,2018-09-30,李松强,,,,,73401830 ,3,3.42,流通A股,3
000009,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,18677883 ,3,0.87,流通A股,4
000009,2018-09-30,市房地产建设开发公司,,,,,18587078 ,3,0.86,未流通股,5
000009,2018-09-30,欧阳学荣,,,,,14907933 ,3,0.69,流通A股,6
000009,2018-09-30,聂仁和,,,,,13123728 ,3,0.61,流通A股,7
000009,2018-09-30,吴海涛,,,,,12783229 ,3,0.59,流通A股,8
000009,2018-09-30,曾静,,,,,8518819 ,3,0.4,流通A股,9
000009,2018-09-30,香港中央结算有限公司,,,,,7578186 ,3,0.35,流通A股,10
000010,2018-09-30,佳源创盛控股集团有限公司,,,,,110744600 ,3,13.51,"未流通股,流通A股",1
000010,2018-09-30,深圳五岳乾坤投资有限公司,,,,,80855424 ,1,9.86,未流通股,2
000010,2018-09-30,江阴鑫诚业展投资管理企业(有限合伙),,,,,29279501 ,3,3.57,流通A股,3
000010,2018-09-30,信达投资有限公司,,,,,28798232 ,3,3.51,流通A股,4
000010,2018-09-30,王仁年,,,,,27713874 ,1,3.38,未流通股,5
000010,2018-09-30,新余瑞达投资有限公司,,,,,22624848 ,1,2.76,"未流通股,流通A股",6
000010,2018-09-30,博正资本投资有限公司,,,,,15110828 ,3,1.84,未流通股,7
000010,2018-09-30,拉萨鑫宏雅投资咨询有限公司,,,,,14700000 ,3,1.79,流通A股,8
000010,2018-09-30,海南万泉热带农业投资有限公司,,,,,14108800 ,3,1.72,未流通股,9
000010,2018-09-30,重庆西证渝富叁号城市发展股权投资基金合伙企业(有限合伙),,,,,12283236 ,1,1.5,未流通股,10
000011,2018-09-30,深圳市建设投资控股公司,,,,,323796324 ,3,54.33,"未流通股,流通A股",1
000011,2018-09-30,深圳市投资管理公司,,,,,56582573 ,3,9.49,未流通股,2
000011,2018-09-30,杜歆晔,,,,,3880800 ,3,0.65,流通A股,3
000011,2018-09-30,周群,,,,,3115450 ,3,0.52,流通A股,4
000011,2018-09-30,杜允丰,,,,,2323000 ,3,0.39,流通A股,5
000011,2018-09-30,深圳市免税商品企业有限公司,,,,,1730300 ,3,0.29,未流通股,6
000011,2018-09-30,高文仁,,,,,1506000 ,3,0.25,流通A股,7
000011,2018-09-30,杨耀初,,,,,1410620 ,3,0.24,流通B股,8
000011,2018-09-30,李京,,,,,1176740 ,3,0.2,流通B股,9
000011,2018-09-30,苏志芬,,,,,1150000 ,3,0.19,流通A股,10
000012,2018-09-30,前海人寿保险股份有限公司,海利年年,,,,423988067 ,3,14.81,流通A股,1
000012,2018-09-30,前海人寿保险股份有限公司,万能型保险产品,,,,107659097 ,3,3.76,流通A股,2
000012,2018-09-30,深圳市钜盛华股份有限公司,,,,,78757679 ,3,2.75,流通A股,3
000012,2018-09-30,前海人寿保险股份有限公司,自有资金,,,,58877419 ,3,2.06,流通A股,4
000012,2018-09-30,中央汇金资产管理有限责任公司,,,,,52650444 ,3,1.84,流通A股,5
000012,2018-09-30,中国银河国际证券(香港)有限公司,,,,,37313064 ,3,1.3,流通B股,6
000012,2018-09-30,招商证券香港有限公司,,,,,29093513 ,3,1.02,流通B股,7
000012,2018-09-30,深国际控股(深圳)有限公司,,,,,26450000 ,3,0.92,流通A股,8
000012,2018-09-30,王恒,,,,,18375167 ,3,0.64,流通A股,9
000012,2018-09-30,VANGUARD EMERGING MARKETS STOCK INDEX FUND,,,,,17563848 ,3,0.61,流通B股,10
000014,2018-09-30,深业沙河(集团)有限公司,,,,,68613391 ,3,34.02,流通A股,1
000014,2018-09-30,林奇,,,,,1900000 ,3,0.94,流通A股,2
000014,2018-09-30,张丽萍,,,,,1440000 ,3,0.71,流通A股,3
000014,2018-09-30,张文泽,,,,,846200 ,3,0.42,流通A股,4
000014,2018-09-30,郭瑜,,,,,775263 ,1,0.38,流通A股,5
000014,2018-09-30,杨朋昌,,,,,752400 ,3,0.37,流通A股,6
000014,2018-09-30,陈忠民,,,,,717347 ,3,0.36,流通A股,7
000014,2018-09-30,张锋,,,,,658200 ,3,0.33,流通A股,8
000014,2018-09-30,单慧,,,,,652200 ,3,0.32,流通A股,9
000014,2018-09-30,支绍环,,,,,640050 ,3,0.32,流通A股,10
000016,2018-09-30,华侨城集团有限公司,,,,,523746932 ,3,21.75,流通A股,1
000016,2018-09-30,中信证券经纪(香港)有限公司,,,,,182100202 ,3,7.56,流通B股,2
000016,2018-09-30,HOLY TIME GROUP LIMITED,,,,,56139100 ,3,2.33,流通B股,3
000016,2018-09-30,国元证券经纪(香港)有限公司,,,,,54203779 ,3,2.25,流通B股,4
000016,2018-09-30,"GAOLING FUND,L.P.",,,,,52801250 ,3,2.19,流通B股,5
000016,2018-09-30,张小玉,,,,,22803978 ,3,0.95,流通A股,6
000016,2018-09-30,招商证券香港有限公司,,,,,22485024 ,3,0.93,流通B股,7
000016,2018-09-30,NAM NGAI,,,,,21712140 ,3,0.9,流通B股,8
000016,2018-09-30,云南国际信托有限公司,聚利48号单一资金信托,,,,21145380 ,3,0.88,流通A股,9
000016,2018-09-30,王磊,,,,,19811420 ,3,0.82,流通A股,10
000017,2018-09-30,深圳市国晟能源投资发展有限公司,,,,,63508747 ,3,11.52,流通A股,1
000017,2018-09-30,大华继显(香港)有限公司,,,,,15907850 ,3,2.89,流通B股,2
000017,2018-09-30,国信证券(香港)经纪有限公司,,,,,13909425 ,3,2.52,流通B股,3
000017,2018-09-30,申万宏源证券(香港)有限公司,,,,,6631116 ,3,1.2,流通B股,4
000017,2018-09-30,李惠丽,,,,,3891124 ,3,0.71,流通B股,5
000017,2018-09-30,招商证券香港有限公司,,,,,3375952 ,3,0.61,流通B股,6
000017,2018-09-30,徐洪波,,,,,3137419 ,3,0.57,流通B股,7
000017,2018-09-30,深圳中华自行车(集团)股份有限公司破产企业财产处置专用账户,,,,,2602402 ,3,0.47,"流通A股,流通B股",8
000017,2018-09-30,君之想投资管理(上海)有限公司,君富人生母基金,,,,2246400 ,3,0.41,流通A股,9
000017,2018-09-30,卓润科技有限公司,,,,,2000000 ,3,0.36,流通A股,10
000018,2018-09-30,陈略,,,,,583454556 ,1,34.36,"未流通股,流通A股",1
000018,2018-09-30,STYLE,SUCCESS LIMITED,,,,92970910 ,3,5.47,流通B股,2
000018,2018-09-30,华联控股股份有限公司,,,,,87935921 ,3,5.18,流通A股,3
000018,2018-09-30,何飞燕,,,,,54800458 ,1,3.23,未流通股,4
000018,2018-09-30,九泰基金,交通银行,九泰慧通定增2号特定客户资产管理计划,,,42479672 ,3,2.5,未流通股,5
000018,2018-09-30,富冠投资有限公司,,,,,23235313 ,3,1.37,流通B股,6
000018,2018-09-30,青海合一实业发展有限公司,,,,,13357084 ,1,0.79,流通A股,7
000018,2018-09-30,黄怀岸,,,,,12288800 ,3,0.72,流通A股,8
000018,2018-09-30,李观萍,,,,,8236700 ,3,0.49,流通A股,9
000018,2018-09-30,郑强辉,,,,,6000026 ,3,0.35,流通A股,10
000019,2018-09-30,深圳市农产品股份有限公司,,,,,94832294 ,3,19.09,"未流通股,流通A股",1
000019,2018-09-30,深圳市福德国有资本运营有限公司,,,,,79484302 ,3,16,"未流通股,流通A股",2
000019,2018-09-30,孙慧明,,,,,3403262 ,3,0.69,流通B股,3
000019,2018-09-30,胡祥主,,,,,2220700 ,3,0.45,流通A股,4
000019,2018-09-30,中央汇金资产管理有限责任公司,,,,,1472625 ,3,0.3,流通A股,5
000019,2018-09-30,蔡运生,,,,,1353790 ,3,0.27,流通A股,6
000019,2018-09-30,李倩,,,,,1278931 ,3,0.26,流通A股,7
000019,2018-09-30,陈宪平,,,,,990000 ,3,0.2,流通A股,8
000019,2018-09-30,叶秀霞,,,,,985230 ,3,0.2,流通A股,9
000019,2018-09-30,叶华丽,,,,,936025 ,3,0.19,流通A股,10
000020,2018-09-30,武汉中恒新科技产业集团有限公司,,,,,116489894 ,1,41.14,流通A股,1
000020,2018-09-30,赛格(香港)有限公司,,,,,16569560 ,2,5.85,流通B股,2
000020,2018-09-30,GOOD HOPE CORNER INVESTMENTS LTD,,,,,12700000 ,2,4.49,流通B股,3
000020,2018-09-30,长江证券经纪(香港)有限公司,,,,,5355249 ,2,1.89,流通B股,4
000020,2018-09-30,国元证券经纪(香港)有限公司,,,,,3845117 ,2,1.36,流通B股,5
000020,2018-09-30,李森壮,,,,,1046360 ,2,0.37,流通B股,6
000020,2018-09-30,韩亚明,,,,,864200 ,2,0.31,流通B股,8
000020,2018-09-30,BINGHUA LIU,,,,,840313 ,2,0.3,流通B股,9
000020,2018-09-30,吴敬民,,,,,788152 ,2,0.28,流通A股,10
000020,2018-09-30,LI SHERYN ZHAN MING,,,,,1015600 ,2,0.36,流通B股,7
000021,2018-09-30,中国电子信息产业集团有限公司,,,,,654839851 ,3,44.51,流通A股,1
000021,2018-09-30,博旭(香港)有限公司,,,,,106649381 ,3,7.25,流通A股,2
000021,2018-09-30,柴长茂,,,,,21300000 ,3,1.45,流通A股,3
000021,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,6669864 ,3,0.45,流通A股,4
000021,2018-09-30,郝双刚,,,,,4279501 ,3,0.29,流通A股,5
000021,2018-09-30,中央汇金资产管理有限责任公司,,,,,3993100 ,3,0.27,流通A股,6
000021,2018-09-30,周淑芳,,,,,3008600 ,3,0.2,流通A股,7
000021,2018-09-30,彭伟燕,,,,,2758175 ,3,0.19,流通A股,8
000021,2018-09-30,龙力控股有限公司,,,,,2598900 ,3,0.18,流通A股,9
000021,2018-09-30,董燕华,,,,,2520000 ,3,0.17,流通A股,10
000022,2018-09-30,招商局港通发展(深圳)有限公司,,,,,370878000 ,2,57.52,流通A股,1
000022,2018-09-30,布罗德福国际有限公司,,,,,55314208 ,2,8.58,流通B股,2
000022,2018-09-30,CMBLSA RE FTIF TEMPLETON ASIAN GRW FD GTI 5496,,,,,45207421 ,3,7.01,流通B股,3
000022,2018-09-30,NORGES BANK,,,,,2802863 ,3,0.43,流通B股,4
000022,2018-09-30,招商证券香港有限公司,,,,,2564987 ,3,0.4,流通B股,5
000022,2018-09-30,中国建设银行股份有限公司,景顺长城量化精选股票型证券投资基金,,,,2417752 ,3,0.37,流通A股,6
000022,2018-09-30,VANGUARD EMERGING MARKETS STOCK INDEX FUND,,,,,2290700 ,3,0.36,流通B股,7
000022,2018-09-30,麦淑青,,,,,2238347 ,2,0.35,流通A股,8
000022,2018-09-30,中国银行股份有限公司,银华优势企业(平衡型)证券投资基金,,,,1536098 ,3,0.24,流通A股,9
000022,2018-09-30,CANADA POST CORPORATION REGISTERED PENSION PLAN,,,,,1494696 ,3,0.23,流通B股,10
000023,2018-09-30,宁波华旗同德投资管理合伙企业(有限合伙),,,,,21000000 ,3,15.13,流通A股,1
000023,2018-09-30,深圳市投资控股有限公司,,,,,12358708 ,3,8.91,流通A股,2
000023,2018-09-30,深圳市东部开发(集团)有限公司,,,,,10805839 ,3,7.79,流通A股,3
000023,2018-09-30,陕西恒通果汁集团股份有限公司,,,,,10000000 ,3,7.21,流通A股,4
000023,2018-09-30,佳兆业捷信物流(深圳)有限公司,,,,,4642239 ,3,3.35,流通A股,5
000023,2018-09-30,深圳市睿鸿置业发展有限公司,,,,,1300559 ,3,0.94,流通A股,7
000023,2018-09-30,魏力军,,,,,1249300 ,3,0.9,流通A股,8
000023,2018-09-30,唐浩,,,,,1130700 ,3,0.81,流通A股,9
000023,2018-09-30,叶光荣,,,,,1106076 ,3,0.8,流通A股,10
000023,2018-09-30,叶跃平,,,,,1880000 ,3,1.35,流通A股,6
000025,2018-09-30,深圳市特发集团有限公司,,,,,145925256 ,3,49.09,流通A股,1
000025,2018-09-30,深圳远致富海珠宝产业投资企业(有限合伙),,,,,67974300 ,3,22.87,流通A股,2
000025,2018-09-30,GUOTAI JUNAN SECURITIES(HONGKONG)LIMITED,,,,,1201304 ,3,0.4,流通B股,3
000025,2018-09-30,李光鑫,,,,,761161 ,3,0.26,流通B股,4
000025,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,675000 ,3,0.23,流通A股,5
000025,2018-09-30,周军,,,,,300558 ,3,0.1,流通A股,6
000025,2018-09-30,何杏,,,,,300100 ,3,0.1,流通B股,7
000025,2018-09-30,黄楚云,,,,,266500 ,3,0.09,流通B股,8
000025,2018-09-30,时富证券有限公司,,,,,196226 ,3,0.07,流通B股,9
000025,2018-09-30,曾惠明,,,,,195000 ,3,0.07,流通B股,10
000026,2018-09-30,中航国际控股股份有限公司,,,,,162977327 ,3,37.15,流通A股,1
000026,2018-09-30,万忠波,,,,,11485227 ,3,2.62,流通A股,2
000026,2018-09-30,全国社保基金一一四组合,,,,,9657744 ,3,2.2,流通A股,3
000026,2018-09-30,杨祖贵,,,,,9500969 ,3,2.17,流通A股,4
000026,2018-09-30,重庆国际信托股份有限公司,融信通系列单一信托10号,,,,6120391 ,3,1.39,流通A股,5
000026,2018-09-30,重庆国际信托股份有限公司,渝信贰号信托,,,,5982200 ,3,1.36,流通A股,6
000026,2018-09-30,西藏自治区投资有限公司,,,,,4976551 ,3,1.13,流通A股,7
000026,2018-09-30,泰达宏利基金,民生银行,泰达宏利价值成长定向增发351号资产管理计划,,,4893559 ,3,1.12,流通A股,8
000026,2018-09-30,中国工商银行股份有限公司,富国天惠精选成长混合型证券投资基金(LOF),,,,4177282 ,3,0.95,流通A股,9
000026,2018-09-30,深圳市赫利丰原商贸有限公司,,,,,3300000 ,3,0.75,流通A股,10
000027,2018-09-30,深圳市人民政府国有资产监督管理委员会,,,,,1896000775 ,3,47.82,流通A股,1
000027,2018-09-30,华能国际电力股份有限公司,,,,,991741659 ,3,25.02,流通A股,2
000027,2018-09-30,中国证券金融股份有限公司,,,,,90572469 ,3,2.28,流通A股,3
000027,2018-09-30,中央汇金资产管理有限责任公司,,,,,35275900 ,3,0.89,流通A股,4
000027,2018-09-30,广东电力发展股份有限公司,,,,,12600000 ,3,0.32,流通A股,5
000027,2018-09-30,陈重孚,,,,,11843596 ,3,0.3,流通A股,6
000027,2018-09-30,中证500交易型开放式指数证券投资基金,,,,,10362142 ,3,0.26,流通A股,7
000027,2018-09-30,香港中央结算有限公司,,,,,8701273 ,3,0.22,流通A股,8
000027,2018-09-30,朱武广,,,,,6835255 ,3,0.17,流通A股,9
000027,2018-09-30,深圳市投资控股有限公司,,,,,5644563 ,3,0.14,流通A股,10
000028,2018-09-30,HTHK/CMG FSGUFP,CMGFIRST STATE CHINA GROWTH FD,,,,10141182 ,3,2.37,流通B股,2
000028,2018-09-30,中国人寿保险股份有限公司,传统,普通保险产品,005L,CT001深,8415792 ,3,1.97,流通A股,3
000028,2018-09-30,中华联合财产保险股份有限公司,传统保险产品,,,,6092905 ,3,1.42,流通A股,4
000028,2018-09-30,全国社保基金一零三组合,,,,,4999987 ,3,1.17,流通A股,6
000028,2018-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,,,,,4396898 ,3,1.03,流通B股,7
000028,2018-09-30,新华人寿保险股份有限公司,分红,个人分红,018L,FH002深,4199772 ,3,0.98,流通A股,8
000028,2018-09-30,北京昊青财富投资管理有限公司,昊青价值稳健8号投资基金,,,,4118716 ,3,0.96,流通A股,9
000028,2018-09-30,UBS AG LONDON BRANCH,,,,,3833984 ,3,0.9,流通B股,10
000028,2018-09-30,国药控股股份有限公司,,,,,239999991 ,3,56.06,"未流通股,流通A股",1
000028,2018-09-30,中国医药对外贸易有限公司,,,,,5323043 ,3,1.24,未流通股,5
000029,2018-09-30,深圳市投资控股有限公司,,,,,642884262 ,3,63.55,流通A股,1
000029,2018-09-30,山金金控资本管理有限公司,山金金控稳健一号基金,,,,10300000 ,3,1.02,流通A股,2
000029,2018-09-30,卢志高,,,,,3246949 ,3,0.32,流通A股,3
000029,2018-09-30,谭石庆,,,,,1286701 ,3,0.13,流通A股,4
000029,2018-09-30,杨水莲,,,,,1273700 ,3,0.13,流通A股,5
000029,2018-09-30,杨剑雄,,,,,1255750 ,3,0.12,流通B股,6
000029,2018-09-30,中央汇金资产管理有限责任公司,,,,,1165500 ,3,0.12,流通A股,7
000029,2018-09-30,彭伟,,,,,1129082 ,3,0.11,流通A股,8
000029,2018-09-30,吴浩源,,,,,1109300 ,3,0.11,流通B股,9
000029,2018-09-30,GUOTAI  JUNAN SECURITIES(HONGKONG) LIMITED,,,,,1015683 ,3,0.1,流通B股,10
000030,2018-09-30,中国第一汽车集团有限公司,,,,,441995373 ,3,24.41,流通A股,1
000030,2018-09-30,吉林省天亿投资有限公司,,,,,317995380 ,3,17.56,流通A股,2
000030,2018-09-30,宁波华翔电子股份有限公司,,,,,252568785 ,3,13.95,流通A股,3
000030,2018-09-30,吉林省国有资本运营有限责任公司,,,,,181657489 ,1,10.03,流通A股,4
000030,2018-09-30,中国证券金融股份有限公司,,,,,42493825 ,3,2.35,流通A股,5
000030,2018-09-30,中央汇金资产管理有限责任公司,,,,,35004200 ,3,1.93,流通A股,6
000030,2018-09-30,叶凡,,,,,9355063 ,3,0.52,流通A股,8
000030,2018-09-30,工银瑞信基金,农业银行,工银瑞信中证金融资产管理计划,,,8509200 ,3,0.47,流通A股,9
000030,2018-09-30,南方基金,农业银行,南方中证金融资产管理计划,,,8509200 ,3,0.47,流通A股,10
000030,2018-09-30,深圳市中久资产管理有限公司,,,,,29528918 ,1,1.63,流通A股,7
000031,2018-09-30,中粮集团有限公司,,,,,857354140 ,3,47.27,流通A股,1
000031,2018-09-30,中央汇金资产管理有限责任公司,,,,,65864600 ,3,3.63,流通A股,2
000031,2018-09-30,香港中央结算有限公司,,,,,18987447 ,3,1.05,流通A股,3
000031,2018-09-30,洪卓斌,,,,,16703554 ,3,0.92,流通A股,4
000031,2018-09-30,中国农业银行股份有限公司,中证500交易型开放式指数证券投资基金,,,,9768590 ,3,0.54,流通A股,5
000031,2018-09-30,张忱业,,,,,6800274 ,3,0.37,流通A股,6
000031,2018-09-30,泰康人寿保险有限责任公司,投连,多策略优选,,,6042254 ,3,0.33,流通A股,7
000031,2018-09-30,全国社保基金四零七组合,,,,,6004769 ,3,0.33,流通A股,8
000031,2018-09-30,江彩虹,,,,,5442337 ,3,0.3,流通A股,9
000031,2018-09-30,中信银行股份有限公司,建信中证500指数增强型证券投资基金,,,,4175024 ,3,0.23,流通A股,10
000032,2018-09-30,中国中电国际信息服务有限公司,,,,,202650154 ,2,49.04,"未流通股,流通A股",1
000032,2018-09-30,中国电子进出口有限公司,,,,,38391238 ,2,9.29,未流通股,2
000032,2018-09-30,深圳市龙岗区城市建设投资集团有限公司,,,,,11298170 ,2,2.73,流通A股,3
000032,2018-09-30,吴安,,,,,6793400 ,2,1.64,流通A股,4
000032,2018-09-30,中国人民人寿保险股份有限公司,万能,个险万能,,,4870236 ,2,1.18,流通A股,5
000032,2018-09-30,中国人民人寿保险股份有限公司,分红,个险分红,,,4674095 ,2,1.13,流通A股,6
000032,2018-09-30,中国人民人寿保险股份有限公司,分红,团险分红,,,3636002 ,2,0.88,流通A股,7
000032,2018-09-30,民生证券股份有限公司,,,,,3218740 ,2,0.78,流通A股,8
000032,2018-09-30,吴绮绯,,,,,2684220 ,2,0.65,流通A股,9
000032,2018-09-30,中国人民人寿保险股份有限公司,自有资金,,,,1999923 ,2,0.48,流通A股,10
000034,2018-09-30,郭为,,,,,154777803 ,1,23.66,未流通股,1
000034,2018-09-30,中国希格玛有限公司,,,,,80185746 ,1,12.26,流通A股,2
000034,2018-09-30,王晓岩,,,,,64603000 ,1,9.88,未流通股,3
000034,2018-09-30,中信建投基金,中信证券,中信建投基金定增16号资产管理计划,,,29609700 ,3,4.53,未流通股,4
000034,2018-09-30,王廷月,,,,,26917900 ,1,4.12,未流通股,5
000034,2018-09-30,深圳市宝安建设投资集团有限公司,,,,,26261759 ,3,4.02,流通A股,6
000034,2018-09-30,钱学宁,,,,,13759000 ,1,2.1,"未流通股,流通A股",7
000034,2018-09-30,全国社保基金四一三组合,,,,,9000006 ,3,1.38,流通A股,8
000034,2018-09-30,张明,,,,,6729500 ,1,1.03,未流通股,9
000034,2018-09-30,郝峻晟,,,,,5474000 ,3,0.84,流通A股,10
000035,2018-09-30,南通乾创投资有限公司,,,,,403070243 ,1,29.82,流通A股,1
000035,2018-09-30,严圣军,,,,,93901228 ,1,6.95,"未流通股,流通A股",2
000035,2018-09-30,南通坤德投资有限公司,,,,,75345534 ,1,5.57,流通A股,3
