ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Sigchange,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital,Website,BusinessScope
102338,201000000011 ,000010,美丽生态,2017-12-31,土木工程建筑业,E48,广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,518048,单军,0755-33228575,0755-33375373,shenhuaxin000010@163.com,赵明珍;何婷,91110000192181597U,报告期内公司无收购及出售资产、吸收合并事项,114.0572199,22.53528504,CNE000000156,深圳美丽生态股份有限公司,贾明辉,1988-12-13 00:00:00.,,819854713.00 ,,"林木(不含种子)、花卉(不含种子)、草坪(不含种子)、机械设备、建筑材料、电子产品、体育用品的销售;投资与资产管理(不得从事信托、金融资产管理、证券资产管理等业务);计算机系统服务,技术开发,技术服务;经济信息咨询(不含限制项目);经营进出口业务。(以上法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营)计算机软硬件的制造。"
101859,201000000012 ,000011,深物业A,2017-12-31,房地产业,K70,广东省深圳市人民南路国贸大厦39层、42层,广东省深圳市人民南路国贸大厦39层、42层,518014,范维平,0755-82211020,"0755-82210610,82212043",000011touzizhe@szwuye.com.cn,钱忠;丁名华,91440300192174135N,"出售重大股权情况:交易对方:深圳巴士集团股份有限公司;深圳巴士集团股份有限公司;被出售股权:深圳市国贸汽车实业有限公司100%股权;深圳市深新出租汽车有限公司100%股权;出售日:2017年06月30日;2017年06月30日;交易价格(万元):15,496.5;2,097.83本期初起至出售日该股权为上市公司贡献的净利润(万元):145.34;96.26;出售对公司的影响:国贸汽车公司将不再是公司下属子公司;深新汽车公司将不再是公司下属子公司;股权出售为上市公司贡献的净利润占净利润总额的比例:11.27%;0.22%;股权出售定价原则:市场评估价;市场评估价;是否为关联交易:否;否;与交易对方的关联关系:无关联关系;无关联关系;所涉及的股权是否已全部过户:是;是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施是;是;披露日期:2017年06月30日;2017年06月30日;披露索引:巨潮资讯网编号为2017-30《关于向深圳巴士集团股份有限公司转让公司下属两家出租汽车公司100%股权的公告》;巨潮资讯网编号为2017-30《关于向深圳巴士集团股份有限公司转让公司下属两家出租汽车公司100%股权的公告》",22.54070528,114.1197923,CNE000000248,深圳市物业发展(集团)股份有限公司,陈玉刚,1983-01-17 00:00:00.,200011,595979092.00 ,www.szwuye.com.cn,"房地产开发及商品房销售,商品楼宇的建筑、管理,房屋租赁,建设监理。国内商业、物资供销业(不含专营、专卖、专控商品)。"
101860,201000000013 ,000012,南玻A,2017-12-31,非金属矿物制品业,C30,广东省深圳市蛇口工业六路一号南玻大厦,广东省深圳市蛇口工业六路一号南玻大厦,518067,杨昕宇,0755-26860666,0755-26860685,securities@csgholding.com,,914403006188385775,报告期内公司无收购及出售资产、吸收合并事项,113.9185834,22.49288153,CNE0000002R2,中国南玻集团股份有限公司,陈琳,1984-09-10 00:00:00.,200012,2484147547.00 ,www.csgholding.com,平板玻璃、特种玻璃、工程玻璃、节能及以玻璃为介质的能源产品的生产和销售、多晶硅和太阳能组件的生产和销售、电子玻璃及显示器件玻璃的生产和销售以及光伏电站的建设和运营等。
101621,201000000015 ,000014,沙河股份,2017-12-31,房地产业,K70,广东省深圳市南山区白石路2222号沙河世纪楼,广东省深圳市南山区白石路2222号沙河世纪楼,518053,王凡,0755-86091298,0755-86090688,wf000014@163.com,,914403006188016784,报告期内公司无收购及出售资产、吸收合并事项,113.9666249,22.53134382,CNE0000003G3,沙河实业股份有限公司,陈勇,1992-04-21 00:00:00.,,201705187.00 ,www.shahe.cn,在合法取得土地使用权范围内从事房地产开发经营业务;国内商业、物资供销业(不含专营、专控、专卖商品);兴办实业(具体项目另报);自有物业租赁。本公司及各子公司主要产品或提供的劳务:房地产开发和经营、物业租赁等。
101623,201000000017 ,000016,深康佳A,2017-12-31,计算机、通信和其他电子设备制造业,C39,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,518057,吴勇军,0755-61368867,0755-26601139,szkonka@konka.com,苗雷强,914403006188155783,"出售重大股权情况:交易对方:上海万纬沪仓储有限公司;深圳市创景投资有限公司;被出售股权:昆山康佳电子有限公司51%的股权;深圳市康侨佳城置业投资有限公司70%股权;出售日:2017年09月26日;2017年11月30日;交易价格(万元):22440;698000;本期初起至出售日该股权为上市公司贡献的净利润(万元):1647.46;-1155.54;出售对公司的影响:优化本公司资产配置,回收资金,增强资产的流动性,提高本公司整体效益;优化本公司资产配置,回收资金,增强资产的流动性,提高本公司整体效益;股权出售为上市公司贡献的净利润占净利润总额的比例:0.0333;0.9416;股权出售定价原则:不低于评估值;不低于评估值;是否为关联交易:否;否;与交易对方的关联关系:否;否;所涉及的股权是否已全部过户:是;是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:是;是;披露日期:2017年06月30日;2017年08年25日;披露索引:巨潮资讯网(www.cninfo.com.cn);巨潮资讯网(www.cninfo.com.cn)",22.5392433,113.9569666,CNE0000002T8,康佳集团股份有限公司,刘凤喜,1980-10-01 00:00:00.,200016,2407945408.00 ,www.konka.com,"研究开发、生产经营电视机、冰箱、洗衣机、日用小家电、厨卫电器及其他智能生活电器产品,家庭视听设备,IPTV机顶盒,OTT终端产品,数字电视接收器(含卫星电视广播地面接收设备),数码产品,智能穿戴产品,智能健康产品,智能电子产品,智能开关插座,移动电源,移动通信设备及终端产品,日用电子产品,汽车电子产品,卫星导航系统,智能交通系统,防火防盗报警系统,办公设备,电子计算机,显示器;大屏幕显示设备的制造和应用服务;LED(OLED)背光源、照明、发光器件制造及封装;触摸电视一体机;无线广播电视发射设备;应急广播系统设备;生产经营电子元件、器件,模具,塑胶制品,各类包装材料;设计、上门安装安防产品、监控产品,无线、有线数字电视系统及系统集成,并从事相关产品的技术咨询和服务(上述经营范围中的生产项目,除移动电话外,其余均在异地生产)。从事以上所述产品(含零配件)的批发、零售、进出口及相关配套业务(不涉及国营贸易管理商品,涉及配额、许可证管理及其它专项规定管理的商品,按国家有关规定办理申请)。销售自行开发的技术成果;提供电子产品的维修服务、技术咨询服务;普通货物运输,国内货运代理、国际货运代理,仓储服务;供应链管理;企业管理咨询服务;自有物业租赁和物业管理业务。从事废旧电器电子产品的回收(不含拆解)(由分支机构经营);以承接服务外包方式从事系统应用管理和维护、信息技术支持管理、银行后台服务、财务结算、人力资源服务、软件开发、呼叫中心、数据处理等信息技术和业务流程外包服务。经营进出口业务;国内贸易;国际贸易(不含专营、专控、专卖商品);销售安防产品、智能家居产品、门锁、五金制品;代办(移动、联通、电信、广电)委托的各项业务。"
101711,201000000018 ,000017,深中华A,2017-12-31,铁路、船舶、航空航天和其它运输设备制造业,C37,广东省深圳市布心路3008号,广东省深圳市笋岗东路3002号万通大厦1201,518023,孙龙龙,"0755-25516998,28181666",0755-28181009,dmc@szcbc.com,崔红霞;钟小津,914403006188304524,报告期内公司无收购及出售资产、吸收合并事项,22.574297,114.1246824,CNE0000002Q4,深圳中华自行车(集团)股份有限公司,李海,1992-03-12 00:00:00.,200017,551347947.00 ,www.cbc.com.cn,生产装配各种类型的自行车及自行车零件、部件、配件、健身车、机械产品、运动器械、精细化工、碳纤维复合材料、家用小电器及配套原件(不含许可证管理产品)。主要产品或服务是:阿米尼牌自行车、电动自行车、锂电池材料。
101712,201000000019 ,000018,神州长城,2017-12-31,建筑装饰和其他建筑业,E50,广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号,北京市经济技术开发区锦绣街3号神州长城大厦,100176,杨春玲,010-89045855,010-89045856,1208806865@qq.com,马芹,91440300618801483A,报告期内公司无收购及出售资产、吸收合并事项,116.517075,39.78735443,CNE0000002S0,神州长城股份有限公司,陈略,1992-05-09 00:00:00.,200018,1698245011.00 ,www.sgwde.com,生产经营纺织工业品及所需的原材料、辅料、机械设备、各种面料服装并提供相关的服务(不含现行许可证管理产品有许可证按许可证执行)。
101629,201000000020 ,000019,深深宝A,2017-12-31,酒、饮料和精制茶制造业,C15,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,广东省深圳市南山区学府路科技园南区软件产业基地4栋B座8层,518057,李亦研,0755-82027522,0755-82027522,lyy@sbsy.com.cn,黄冰夏,91440300192180754J,报告期内公司无收购及出售资产、吸收合并事项,113.9372105,22.52286917,CNE000000354,深圳市深宝实业股份有限公司,郑煜曦,1992-08-06 00:00:00.,200019,496782303.00 ,www.sbsy.com.cn,"生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品(生产场所营业执照另行申办);茶、植物产品、软饮料和食品的技术开发、技术服务;信息技术开发及配套服务;网上贸易;茶园的投资、经营管理、开发;投资兴办实业(具体项目另行申报);国内贸易(不含专营、专控、专卖商品);经营进出口业务;在合法取得使用权的土地上从事房地产开发经营;自有物业租售和物业管理。(以上涉及法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营)。许可证经营项目:预包装食品(不含复热预包装食品)的批发(非实物方式)。"
101631,201000000022 ,000020,深华发A,2017-12-31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区华发北路411栋,广东省深圳市南山区大冲商务中心2号楼33层,518057,杨斌,0755-86360220,0755-86360206,huafainvestor@126.com.cn,牛玉香,91440300618830372G,报告期内公司无收购及出售资产、吸收合并事项,113.9524945,22.54071325,CNE0000002V4,深圳中恒华发股份有限公司,李中秋,1992-03-20 00:00:00.,200020,283161227.00 ,www.hwafa.com.cn,"生产经营各种彩色电视机、液晶显示器、液晶显示屏(在分支机构生产经营)、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印制线路板、精密注塑件、轻型包装材料(在武汉生产经营)、五金件(含工模具),电镀及表面处理、焊锡丝,房地产开发经营(深房地字第7226760号),物业管理。"
101632,201000000023 ,000021,深科技,2017-12-31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区彩田路7006号,广东省深圳市福田区彩田路7006号,518035,李丽杰,0755-83205285,0755-83275075,stock@kaifa.cn,,91440300618873567Y,报告期内公司无收购及出售资产、吸收合并事项,114.0682356,22.56174375,CNE000000FK4,深圳长城开发科技股份有限公司,谭文鋕,1993-12-29 00:00:00.,,1471259363.00 ,www.kaifa.cn,"开发、生产、经营计算机软、硬件系统及其外部设备、通讯设备、电子仪器仪表及其零部件、元器件、接插件和原材料,生产、经营家用商品电脑及电子玩具(以上生产项目均不含限制项目);金融计算机软件模型的制作和设计、精密模具CAD/CAM技术、节能型自动化机电产品和智能自动化控制系统办公自动化设备、激光仪器、光电产品及金卡系统、光通讯系统和信息网络系统的技术开发和安装工程。商用机器(含税控设备、税控系统)、机顶盒、表计类产品(水表、气表等)、网络多媒体产品的开发、设计、生产、销售及服务;金融终端设备的开发、设计、生产、销售、技术服务、售后服务及系统集成。经营进出口业务;普通货运;房屋、设备及固定资产租赁;LED照明产品的研发、生产和销售,合同能源管理;节能服务、城市亮化、照明工程的设计、安装、维护。医疗器械产品的生产和销售。"
101633,201000000024 ,000022,深赤湾A,2017-12-31,水上运输业,G55,广东省深圳市南山区招商街道赤湾石油大厦八楼,广东省深圳市南山区招商街道赤湾石油大厦八楼,518067,王永立,0755-26694222,0755-26684117,cwh@szcwh.com,胡静競;陈丹,91440300618832968J,报告期内公司无收购及出售资产、吸收合并事项,22.47868791,113.8910111,CNE000000818,深圳赤湾港航股份有限公司,白景涛,1993-03-21 00:00:00.,200022,644763730.00 ,www.szcwh.com,港口装卸、仓储、港口拖轮经营、港口货物运输、代理及其他业务。
101721,201000000025 ,000023,深天地A,2017-12-31,非金属矿物制品业,C30,广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,518057,侯剑,0755-86154212,0755-86154040,std000023@vip.163.com,张茹;李佳杏,91440300192192827L,"出售重大资产情况:交易对方:深圳市天正房地产营销策划有限公司惠州分公司;被出售资产:惠州市大亚湾东部阳光花园的十套闲置房产;出售日:2017年06月28日;交易价格(万元):773.87;本期初起至出售日该资产为上市公司贡献的净利润(万元):189.72;出售对公司的影响:有利于盘活公司存量资产,优化资产结构,提高资产运营效率;资产出售为上市公司贡献的净利润占净利润总额的比例:6.22%;资产出售定价原则:根据交易标的的评估值及该房产目前的市场价格确定;是否为关联交易:否;与交易对方的关联关系(适用关联交易情形):无;所涉及的资产产权是否已全部过户:是;所涉及的债权债务是否已全部转移:是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:是;披露日期:2017年06月20日;披露索引:2017年6月20日巨潮资讯网及当日《证券时报》、《中国证券报》;出售重大股权情况:交易对方:肖静;被出售股权:深圳市天地东建混凝土有限公司60%股权;出售日:2017年07月06日;交易价格(万元):1,256.82;本期初起至出售日该股权为上市公司贡献的净利润(万元):0;出售对公司的影响:有利于整合公司资源,提高资产使用效率,巩固公司混凝土市场份额,扩大天地品牌影响力和增加投资收益,对公司持续经营能力将产生积极的影响。;股权出售为上市公司贡献的净利润占净利润总额的比例:0.00%;股权出售定价原则:参考审计及评估所确认的价格后协商确定;是否为关联交易:否;与交易对方的关联关系:无;所涉及的股权是否已全部过户:否;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:是;披露日期:2017年06月20日;披露索引:2017年6月20日巨潮资讯网及当日《证券时报》、《中国证券报》;说明:截止到报告期末,上述交易因尚未达到股权转让协议约定的股权交割条件,目前公司仍持有该子公司100%的股权,仍将其纳入公司合并报表范围。",22.55682312,113.950801,CNE000000834,深圳市天地(集团)股份有限公司,杨国富,1984-09-18 00:00:00.,,138756240.00 ,www.sztiandi.com,"一般经营项目:商品混凝土及其原材料的生产、销售(具体生产场地执照另行申办);水泥制品的生产、销售(具体生产场地执照另行申办);在合法取得土地使用权的地块上从事房地产开发;物流服务;机电设备维修;物业管理;投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品及限制项目);经营进出口业务(按深府办函【1994】278号文执行)。许可经营项目:普通货运,货物专用运输(罐式)(凭道路运输经营许可证经营)。主要产品和服务为商品混凝土的生产和销售、房地产的开发与销售。"
101778,201000000027 ,000025,特力A,2017-12-31,批发业,F51,广东省深圳市罗湖区水贝二路特力大厦三楼,广东省深圳市福田区深南中路中核大厦十五楼,518031,祁鹏,0755-83989378,0755-83989386,ir@tellus.cn,孙博伦,,"出售重大股权情况:交易对方:深圳市特发物业管理有限公司100%股权;被出售股权:深圳市特发特力物业管理有限公司;出售日:2017年05月25日;交易价格(万元):1,415;本期初起至出售日该股权为上市公司贡献的净利润(万元):25;出售对公司的影响:本次交易公司取得转让收益合计528万元;股权出售为上市公司贡献的净利润占净利润总额的比例:8.03%;股权出售定价原则:根据具有执行证券期货相关业务资格的国众联资产评估土地房地产估价有限公司出具的国众联评报字(2017)第3-0058号资产评估报告,此次评估采用资产基础法及收益法;是否为关联交易:是;与交易对方的关联关系:特发物业与本公司受同一控股股东控制,存在关联关系;所涉及的股权是否已全部过户:是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:已按计划实施;披露日期:2017年05月26日;披露索引:《证券时报》、《香港商报》及巨潮资讯网(www.cninfo.com.cn):公告编号:2017-039",22.571297,114.1240284,CNE0000008N8,深圳市特力(集团)股份有限公司,吕航,1993-04-18 00:00:00.,200025,297281600.00 ,www.tellus.cn,投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁与管理。自营本公司及所属企业自产产品、自用生产材料、金属加工机械、通用零件的进出口业务、进出口业务按深贸管证字第０９８号外贸审定证书办理。本公司主要产品或提供的劳务:汽车销售、汽车维修及检测、珠宝首饰销售、物业租赁及服务等。
101779,201000000028 ,000026,飞亚达A,2017-12-31,零售业,F52,广东省深圳市南山区高新南一道飞亚达科技大厦,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,518057,陆万军,0755-86013669,0755-83348369,investor@fiyta.com.cn,张勇,91440300192189783K,报告期内公司无收购及出售资产、吸收合并事项,113.9559196,22.5392433,CNE000000875,飞亚达(集团)股份有限公司,黄勇峰,1993-04-18 00:00:00.,200026,438744881.00 ,www.fiytagroup.com,生产经营各种指针式石英表及其机芯、零部件、各种计时仪器、加工批发K金手饰表(生产场地另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);物业管理及物业租赁。自营进出口业务设计、施工;进出口业务(按深贸管登证字第2007-072号文执行)。
101655,201000000029 ,000027,深圳能源,2017-12-31,电力、热力生产和供应业,D44,"广东省深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层","广东省深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层",518031,邵崇,0755-83684138,0755-83684128,ir@sec.com.cn,周朝晖,91440300192241158P,"出售重大股权情况:交易对方:岳阳市城市建设投资集团有限公司;被出售股权:岳阳晨兴环保产业有限公司46%股权;出售日:2017年11月13日;交易价格(万元):4,857.74;出售对公司的影响:对公司不构成重大影响;股权出售定价原则:以评估值为基础由交易双方协商;是否为关联交易:否;与交易对方的关联关系:无;所涉及的股权是否已全部过户:是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:是;披露日期:2017年10月13日;披露索引:公告编号:2017-054",22.54115952,114.0899644,CNE000000933,深圳能源集团股份有限公司,熊佩锦,1993-06-02 00:00:00.,,3964491597.00 ,www.sec.com.cn,各种常规能源和新能源的开发、生产、购销;投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等。
101656,201000000030 ,000028,国药一致,2017-12-31,批发业,F51,广东省深圳市福田区八卦四路15号一致药业大厦,广东省深圳市福田区八卦四路15号一致药业大厦,518029,陈常兵,"0755-25875195,25875222",0755-25195435,gyyzinvestor@sinopharm.com,,91440300192186267U,报告期内公司无收购及出售资产、吸收合并事项,114.1018952,22.56349773,CNE0000009N6,国药集团一致药业股份有限公司,林兆雄,1993-07-03 00:00:00.,200028,428126983.00 ,www.szaccord.com.cn,"中药饮片、中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品(含疫苗和体外诊断试剂)、第二类精神药品(制剂)、麻醉药品、第一类精神药品(区域批发型企业)、医疗用毒药品、蛋白同化制剂、肽类激素的批发和零售;保健食品经营;咨询服务;投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);救护车销售;经营二类、三类医疗器械;项目投资;自有物业管理、出租;医药信息咨询;停车场经营;普通货运,提供医药咨询服务,对医药配送的投资,仓储,装卸搬运,代办打包服务,物流方案设计;经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营)。"
102321,201000000031 ,000029,深深房A,2017-12-31,房地产业,K70,广东省深圳市人民南路深房广场45-48楼,广东省深圳市人民南路深房广场47楼,518001,陈继,0755-82293000-4718,0755-82294024,spg@163.net,罗毅,91440300192179585N,报告期内公司无收购及出售资产、吸收合并事项,114.1179993,22.54118228,CNE0000009X5,深圳经济特区房地产(集团)股份有限公司,周建国,1993-08-15 00:00:00.,200029,1011660000.00 ,www.sfjt.com.cn,"从事房地产开发及商品房销售、物业租赁及管理、商品零售及贸易、酒店业务、设备安装及维修、建筑、室内装修等业务。公司主要产品或提供的劳务:提供商品住宅、物业租赁及管理服务、酒店客房服务,以及建筑安装装修服务。"
