ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital
101860,2.01E+11,12,南玻A,2007/12/31,非金属矿物制品业,C30,中国深圳市蛇口工业六路一号南玻大厦,中国深圳市蛇口工业六路一号南玻大厦,518067,吴国斌,0755-26860666,0755-26692755,securities@csgholding.com,李涛,,113.9185834,22.49288153,CNE0000002R2,中国南玻集团股份有限公司,曾南,1984/9/10 0:00,200012,1187963124
101621,2.01E+11,14,沙河股份,2007/12/31,房地产业,K70,深圳市南山区沙河商城七楼,深圳市南山区沙河商城七楼,518053,王凡,0755-86091298,0755-86090688,wf000014@163.com,李锐,,113.9689949,22.53114382,CNE0000003G3,沙河实业股份有限公司,吕华,1992/4/21 0:00,,134470125
101623,2.01E+11,16,深康佳A,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市南山区华侨城,深圳市南山区华侨城,518053,肖庆,0755-26608866,0755-26600082,szkonka@konka.com,吴勇军,9.14E+17,113.981566,22.53701826,CNE0000002T8,康佳集团股份有限公司,侯松容,1980/10/1 0:00,200016,601986352
101711,2.01E+11,17,SST 中华A,2007/12/31,铁路、船舶、航空航天和其它运输设备制造业,C37,中国广东省深圳市布心路三零零八号,中国广东省深圳市龙华油松工业区中华工业园,518131,李海,"0755-28181666,25516998",0755-28181009,dmc@szcbc.com,崔红霞,,114.0338646,22.63988232,CNE0000002Q4,深圳中华自行车(集团)股份有限公司,尚世骏,1992/3/12 0:00,200017,479433003
101712,2.01E+11,18,ST 中冠A,2007/12/31,纺织业,C17,深圳市龙岗区葵涌镇白石岗葵鹏路26号,深圳市深南中路2008号华联大厦1308室,518119,陈星,0755-83668254,0755-83668427,szg000018@126.com,蒋秀娟,,114.0940144,22.54124952,CNE0000002S0,深圳中冠纺织印染股份有限公司,胡永峰,1992/5/9 0:00,200018,169142356
101629,2.01E+11,19,深深宝A,2007/12/31,酒、饮料和精制茶制造业,C15,"深圳市笋岗路1002号宝安广场B,C座28层","深圳市笋岗路1002号宝安广场B,C座28层",518020,刘雄佳,0755-25507480,0755-25507480,a 0019 @ 21cn.com,,91440300192180754J,114.1217817,22.55674643,CNE000000354,深圳市深宝实业股份有限公司,曾湃,1992/8/6 0:00,200019,181923088
101631,2.01E+11,20,ST 华发A,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市福田区华发北路411栋,深圳市福田区华发北路411栋东座六层,518031,石诚,"0755-83352207,83352206","0755-83323160,83352200",hwafainvestor@126.com,翁小珏,91440300618830372G,114.0900643,22.54599931,CNE0000002V4,深圳中恒华发股份有限公司,李中秋,1992/3/20 0:00,200020,283161227
101632,2.01E+11,21,长城开发,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市福田区彩田路7006号,深圳市福田区彩田路7006号,518035,葛伟强,"0755-83200095,83205285",0755-83275075,stock@kaifa.cn,李丽杰,,114.0682356,22.56174375,CNE000000FK4,深圳长城开发科技股份有限公司,谭文鋕,1993/12/29 0:00,,879518521
101633,2.01E+11,22,深赤湾A,2007/12/31,装卸搬运和运输代理业,G58,中国深圳市赤湾,中国深圳市赤湾石油大厦12-13楼,518068,裴姜媛,0755-26694222,0755-26684117,cwh@cndi.com,"步丹,李营",,113.8910081,22.47868791,CNE000000818,深圳赤湾港航股份有限公司,王芬,1993/3/21 0:00,200022,644763730
101721,2.01E+11,23,深天地A,2007/12/31,房屋建筑业,E47,深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,518057,刘晓飞,0755-86154212,0755-86154040,universe@mailcenter.com.cn,侯剑,,113.950802,22.55682312,CNE000000834,深圳市天地(集团)股份有限公司,杨玉科,1984/9/18 0:00,,138756240
101722,2.01E+11,24,招商地产,2007/12/31,房地产业,K70,深圳南山区蛇口工业区新时代广场9楼,深圳南山区蛇口工业区新时代广场9楼,518067,黄培坤(代),0755-26819600,0755-26819680,investor@cmpd.cn,刘宁,,113.9206034,22.48639153,CNE0000008B3,招商局地产控股股份有限公司,孙承铭,1993/4/10 0:00,200024,844867002
101778,2.01E+11,25,特力A,2007/12/31,综合,S90,深圳市罗湖区水贝二路特力大厦三楼,深圳市福田区深南中路中核大厦十五楼,518031,任永建,0755-83989338,0755-83989399,ryj@tellus.cn,邓树娥,,114.0949444,22.54160952,CNE0000008N8,深圳市特力(集团)股份有限公司,张瑞理,1993/4/18 0:00,200025,220281600
101779,2.01E+11,26,飞亚达A,2007/12/31,专用设备制造业,C35,深圳市南山区高新南一道飞亚达科技大厦,深圳市南山区高新南一道飞亚达科技大厦20楼,518057,郝惠文,"0755－86013992,86013669",0755－83348369,investor@fiyta.com.cn,李雯静,91440300192189783K,113.9558266,22.5392533,CNE000000875,深圳市飞亚达(集团)股份有限公司,吴光权,1993/4/18 0:00,200026,249317999
101655,2.01E+11,27,深圳能源,2007/12/31,电力、热力生产和供应业,D44,"深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层","深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层",518031,秦飞,0755-83684138,0755-83684128,ir@sec.com.cn,周朝晖,,114.0899644,22.54115952,CNE000000933,深圳能源集团股份有限公司,高自民,1993/6/2 0:00,,2202495332
101656,2.01E+11,28,一致药业,2007/12/31,医药制造业,C27,广东省深圳市福田区八卦四路15号一致药业大厦,广东省深圳市福田区八卦四路15号一致药业大厦,518029,陈常兵,"0755-25875195,25875222",0755-25875147,0028@szaccord.com.cn,,,114.1018952,22.56349773,CNE0000009N6,深圳一致药业股份有限公司,陈为钢,1993/7/3 0:00,200028,288149400
102321,2.01E+11,29,深深房A,2007/12/31,房地产业,K70,深圳市人民南路深房广场47楼,深圳市人民南路深房广场46—48楼,518001,陈继,"0755-82293000-4718,4715",0755-82294024,spg@163.net,冯宏伟,,114.1184703,22.54128528,CNE0000009X5,深圳经济特区房地产(集团)股份有限公司,邵志和,1993/8/15 0:00,200029,1011660000
102341,2.01E+11,30,ST 盛润,2007/12/31,其他制造业,C41,中国广东省深圳市车公庙泰然工业区,深圳市车公庙泰然工业区203栋4楼东,518040,敖迎春,0755-83877511,0755-83875212,lionda@mailcenter.com.cn,陈联坦,91220101190325278H,114.030353,22.53459999,CNE0000009Z0,广东盛润集团股份有限公司,王建宇,1993/8/28 0:00,200030,288420000
101916,2.01E+11,31,中粮地产,2007/12/31,房地产业,K70,深圳市宝安区湖滨路5号,深圳市宝安区湖滨路5号宝恒大厦,518101,厉辉,0755-27754517,"0755-27789701,27780713",cofco-property@cofco-property.com,范步登,,113.9124808,22.55601427,CNE000000BJ5,中粮地产(集团)股份有限公司,孙忠人,1993/9/26 0:00,,906865798
101917,2.01E+11,32,深桑达A,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市福田区振华路78号西二层,深圳市福田区振华路78号西二层,518031,吴建华,0755-83200636,0755-83200639,sed@sedind.com,李红梅,,114.0883044,22.54461952,CNE000000BK3,深圳市桑达实业股份有限公司,杨军,1993/9/26 0:00,,194053600
101918,2.01E+11,33,新都酒店,2007/12/31,住宿业,H61,深圳市春风路1号,深圳市春风路1号新都酒店3楼,518001,张静,0755-82320888-543,0755-82344699,,,,113.8457968,22.76846338,CNE000000D08,深圳新都酒店股份有限公司,李聚全,1993/11/15 0:00,,329402050
101880,2.01E+11,34,SST 深泰,2007/12/31,综合,S90,深圳市宝安区宝城宝民一路102号,深圳市宝安区宝城23区大宝路风采轩深信泰丰商务楼,518101,张小立,0755-27596453,0755-27596456,xlzh1123@126.com,张小立,9144030019218259X7,113.9053247,22.56812485,CNE000000DQ6,深圳市深信泰丰(集团)股份有限公司,王迎,1993/12/18 0:00,,311139400
101881,2.01E+11,35,ST 科健,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳蛇口工业六路科健大厦,深圳蛇口工业六路科健大厦,518067,李卫民,0755-26692595,0755-26888210,cnkj@public.szptt.net.cn,费宁萍,,113.9181334,22.49334153,CNE000000FN8,中国科健股份有限公司,郝建学,1994/1/8 0:00,,150006560
10988,2.01E+11,36,华联控股,2007/12/31,纺织业,C17,深圳市深南中路2008号华联大厦11层,深圳市深南中路2008号华联大厦11层,518031,孔庆富,"0755-83667450,83667257",0755-83667583,kqf@udcgroup.com,沈华,,114.0940144,22.54124952,CNE000000G13,华联控股股份有限公司,董炳根,1994/1/29 0:00,,1123887712
10880,2.01E+11,37,深南电A,2007/12/31,电力、热力生产和供应业,D44,中国深圳市南山区月亮湾大道18号,"中国深圳市南山区华侨城汉唐大厦16,17楼",518053,胡琴,0755-26948888,0755-26003684,investor@nspower.com.cn,,,113.9845709,22.53469733,CNE000000G62,深圳南山热电股份有限公司,魏文德,1994/4/19 0:00,200037,547965998
10881,2.01E+11,38,S*ST 大通,2007/12/31,互联网和相关服务,I64,深圳华侨城东部工业区,深圳市福田区都市阳光名苑1栋6B,518000,王晨光(代),0755-26921699,0755-26910599,coolg002@126.com,,,114.0254568,22.53520415,CNE000000FR9,深圳大通实业股份有限公司,高海波,1994/2/2 0:00,,90485999
10985,2.01E+11,39,中集集团,2007/12/31,金属制品业,C33,广东省深圳市南山区蛇口港湾大道2号中集集团研发中心,广东省深圳市南山区蛇口港湾大道2号中集集团研发中心,518067,于玉群,0755-26691130,0755-26826579,shareholder@cimc.com,王心九,,113.9118614,22.47709764,CNE000000644,中国国际海运集装箱(集团)股份有限公司,傅育宁,1992/9/30 0:00,200039,2662396051
10987,2.01E+11,40,深鸿基,2007/12/31,综合,S90,深圳市罗湖区东门中路1011号鸿基大厦25—27楼,深圳市罗湖区东门中路1011号鸿基大厦25—27楼,518001,沈蜀江,0755-82367753,0755-82367780,szhkdb@yahoo.com.cn,刘莹,,114.1214603,22.54471528,CNE0000000D6,深圳市鸿基(集团)股份有限公司,邱瑞亨,1994/6/15 0:00,,469593364
103439,2.01E+11,42,深长城,2007/12/31,房地产业,K70,深圳市福田区百花五路长源楼,深圳市福田区百花五路长源楼,518028,尹善峰,0755-88393669,0755-88393600,szccdcdm@public.szptt.net.cn,李东宁,,114.0896443,22.55170931,CNE000000H53,深圳市长城投资控股股份有限公司,马兴文,1994/9/13 0:00,,239463040
101519,2.01E+11,43,中航地产,2007/12/31,综合,S90,深圳市福田区深南中路68号航空大厦32层,深圳市福田区深南中路68号航空大厦32层,518031,杨祥,0755-83689888-13253,0755-83688903,dongm@carec.com.cn,,,114.0827146,22.54100607,CNE000000H95,深圳中航地产股份有限公司,吴光权,1994/9/8 0:00,,222320472
101184,2.01E+11,45,深纺织A,2007/12/31,纺织业,C17,深圳市福田区华强北路3号深纺大厦六楼,深圳市福田区华强北路3号深纺大厦六楼,518031,晁晋,0755-83776043,0755-83776139,cjane@mail.china.com,,,114.0859744,22.54463952,CNE000000H61,深圳市纺织(集团)股份有限公司,王滨,1994/8/6 0:00,200045,245124000
101185,2.01E+11,46,泛海建设,2007/12/31,房地产业,K70,深圳市福田区福华一路深圳国际商会大厦A座十六楼,深圳市福田区福华一路深圳国际商会大厦A座十六楼,518026,陈家华,0755-82985998-216,0755-82985866,cjh@fhjs.cn,张宇,,114.0512609,22.53706305,CNE000000123,泛海建设集团股份有限公司,卢志强,1989/1/4 0:00,,751481450
101187,2.01E+11,48,*ST 康达,2007/12/31,农副食品加工业,C13,"深圳市罗湖区深南东路1086号集浩大厦二,三楼","深圳市罗湖区深南东路1086号集浩大厦二,三楼",518003,朱文学,"0755-25425020-330,359",0755-25420155,china000048@126.com,张明华,,114.1353382,22.54653204,CNE000000HD5,深圳市康达尔(集团)股份有限公司,罗爱华,1994/9/17 0:00,,390768671
107889,2.01E+11,49,德赛电池,2007/12/31,电气机械及器材制造业,C38,深圳市红荔西路7002号第壹世界广场A座18楼B,深圳市红荔西路7002号第壹世界广场A座18楼B,518034,游虹,0755-82968282,0755-82969220,youhong@desaybattery.com,,9.14E+17,114.0482892,22.54839639,CNE0000000F1,深圳市德赛电池科技股份有限公司,刘其,1995/2/18 0:00,,136829160
101178,2.01E+11,50,深天马A,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市深南中路中航苑航都大厦22层,深圳市南山区马家龙工业城64栋,518052,刘长清,0755-86225886,"0755-86225774,86225772",sztmzq@sz.gd.cninfo.net,,9.14E+17,113.9257402,22.55044755,CNE000000HT1,深圳天马微电子股份有限公司,吴光权,1995/2/26 0:00,,382825000
101532,2.01E+11,55,方大A,2007/12/31,金属制品业,C33,中华人民共和国深圳市高新区科技南十二路方大大厦,中华人民共和国深圳市南山区西丽龙井方大城科技大楼,518055,周志刚,0755-26788571-6622,0755-26788353,zqb@fangda.com,王水英,,113.9715818,22.55544489,CNE000000JY7,方大集团股份有限公司,熊建明,1994/3/31 0:00,200055,387987600
101533,2.01E+11,56,深国商,2007/12/31,零售业,F52,深圳市人民南路发展中心大厦23层,深圳市人民南路发展中心大厦23层,518001,周猛,"0755-82281888,82285565",0755-82285573,zhoumeng868@gmail.com,曹剑,9.14E+17,114.1190903,22.53841528,CNE000000297,深圳市国际企业股份有限公司,李锦全,1993/3/18 0:00,200056,220901184
101534,2.01E+11,58,深赛格,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市福田区华强北路群星广场A座31楼,深圳市福田区华强北路群星广场A座31楼,518028,郑丹,0755-83747939,0755-83975237,segcl@segcl.com.cn,范崇澜,,114.0872943,22.54835931,CNE000000NR3,深圳赛格股份有限公司,张为民,1996/7/16 0:00,200058,784799010
101535,2.01E+11,59,辽通化工,2007/12/31,石油加工、炼焦及核燃料加工业,C25,辽宁省盘锦市双台子区红旗大街,辽宁省盘锦市双台子区红旗大街,124021,陆峰,0755-25986651,0755-25985575,LTDM@MAIL.PJPTT.LN.CN,,91211100279309506B,122.0177826,41.19272191,CNE000000NY9,辽宁华锦通达化工股份有限公司,冯恩良,1997/1/18 0:00,,1200506367
101551,2.01E+11,60,中金岭南,2007/12/31,有色金属冶炼及压延加工业,C32,深圳市福田区车公庙深南大道6013号中国有色大厦24楼,深圳市福田区车公庙深南大道6013号中国有色大厦24楼,518040,彭玲,0755-82839363,0755-83474889,dsh@nonfemet.com.cn,刘渝华,,114.0268268,22.53552415,CNE000000FS7,深圳市中金岭南有色金属股份有限公司,李进明,1994/6/6 0:00,,731280000
10864,2.01E+11,61,农产品,2007/12/31,批发业,F51,深圳市罗湖区布吉路1021号天乐大厦22楼,深圳市罗湖区布吉路1021号天乐大厦22楼,518019,陈小华,"0755-25850936,25850688-2203",0755-25850050,a0061@163.com;czzgb@163.com,郑桂波,,114.1179231,22.58174758,CNE0000008V1,深圳市农产品股份有限公司,陈少群,1994/1/19 0:00,,387663442
101552,2.01E+11,62,深圳华强,2007/12/31,租赁业,L71,深圳市深南中路华强路口,深圳市深南中路华强路口,518031,黄志敏,"0755-83216296,83030063",0755-83365392,hzmin@szhq.com,,,114.0867144,22.54051952,CNE0000008R9,深圳华强实业股份有限公司,李国洪,1994/1/19 0:00,,308931997
101553,2.01E+11,63,中兴通讯,2007/12/31,计算机、通信和其他电子设备制造业,C39,中国广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,中国广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,518057,冯健雄,0755-26770282,0755-26770286,fengjianxiong@zte.com.cn,李柳红,9144030027939873X7,113.9490645,22.53773325,CNE000000TK5,中兴通讯股份有限公司,侯为贵,1997/11/11 0:00,763,959521650
101554,2.01E+11,65,北方国际,2007/12/31,土木工程建筑业,E48,北京市丰台区科技园富丰路4号工商联科技大厦20层A03,北京市广安门内大街338号港中旅大厦11层,100053,黄茜华,"010-83916922,83916913",010-83528922,leluo@norinco-intl.com.cn,罗乐,91110000192472028J,116.3544711,39.88914437,CNE000000VZ9,北方国际合作股份有限公司,何晓东,1984/12/1 0:00,,162437120
101661,2.01E+11,66,长城电脑,2007/12/31,计算机、通信和其他电子设备制造业,C39,中国深圳南山区科技工业园长城计算机大厦,中国深圳南山区科技工业园长城计算机大厦,518057,郭镇,0755-26634759,0755-26631106,stock@greatwall.com.cn,,,113.9502045,22.54364325,CNE000000RL7,中国长城计算机深圳股份有限公司,杜和平,1997/6/21 0:00,,458491500
101662,2.01E+11,68,赛格三星,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市大工业区兰竹大道以北CH3主厂房,深圳市大工业区兰竹东路23号,518118,王科夫,0755-89938888-1862,0755-89938787,szsgsx@163.net,王科夫,,114.3974878,22.71580722,CNE000000QV8,深圳赛格三星股份有限公司,胡建平,1997/6/6 0:00,,785970517
101663,2.01E+11,69,华侨城A,2007/12/31,商务服务业,L72,广东省深圳市南山区华侨城集团办公大楼,广东省深圳市南山区华侨城集团办公大楼,518053,李珂晖,"0755-6909069,26936078,26936076",0755-26600517,000069IR@vip.163.com,郭金,,113.9787769,22.53441833,CNE000000SS0,深圳华侨城控股股份有限公司,刘平春,1997/9/2 0:00,,1310544063
101681,2.01E+11,70,特发信息,2007/12/31,计算机、通信和其他电子设备制造业,C39,深圳市南山区科技工业园科丰路2号通讯大厦4楼,深圳市南山区科技工业园科丰路2号通讯大厦,518057,张大军,0755-26506648,0755-26506800,zhangdj@sdgi.com.cn,伍历文,,113.9502082,22.54994775,CNE000001238,深圳市特发信息股份有限公司,张俊林,1997/7/29 0:00,,250000000
101682,2.01E+11,78,海王生物,2007/12/31,医药制造业,C27,深圳市南山区郎山二路北海王技术中心科研大楼1栋,深圳市南山区郎山二路北海王技术中心科研大楼1栋,518057,戴奉祥,"0755-26968666,26980336","0755-26980892,26968995",sz000078 @ vip.sina.com,慕凌霞,,113.9303775,22.53329857,CNE000000X95,深圳市海王生物工程股份有限公司,张思民,1992/12/13 0:00,,617510400
101671,2.01E+11,88,盐田港,2007/12/31,装卸搬运和运输代理业,G58,深圳市盐田区盐田港海港大厦十七层--十九层,深圳市盐田区盐田港海港大厦十七层--十九层,518081,华翔,0755-25290180,0755-25290932,linweixin@yantian-port.com,林伟鑫,,114.2536167,22.56858646,CNE000000SF7,深圳市盐田港股份有限公司,陈钦硕,1997/7/21 0:00,,1245000000
101672,2.01E+11,89,深圳机场,2007/12/31,装卸搬运和运输代理业,G58,"深圳市宝安国际机场第一办公楼三,四层",深圳市宝安国际机场第一办公楼,518128,支广纬,"0755-27776589,0755-27776331",0755-27776327,szjc@szairport.cn,,,113.8197998,22.62672909,CNE000000VK1,深圳市机场股份有限公司,黄传奇,1998/4/10 0:00,,1439683200
101674,2.01E+11,90,深天健,2007/12/31,房屋建筑业,E47,深圳市福田区红荔西路7058号市政大厦7－8层,深圳市福田区红荔西路7058号市政大厦7－8层,518034,徐肇松,0755-83928130,0755-83915736,xuzhaosong@tom.com,陆炜弘,,114.0400549,22.54609946,CNE000000F89,深圳市天健(集团)股份有限公司,陈潮,1993/12/6 0:00,,304424680
101692,2.01E+11,96,广聚能源,2007/12/31,批发业,F51,深圳市蛇口新街蛇口大厦六楼,深圳市蛇口新街蛇口大厦六楼,518067,嵇元弘,0755－26690988,0755－26690998,gjnygf@126.com,叶启良,,113.9271785,22.48815754,CNE000001410,深圳市广聚能源股份有限公司,王建彬,1999/2/18 0:00,,528000000
102270,2.01E+11,99,中信海直,2007/12/31,航空运输业,G56,深圳市罗湖区解放西路188号农业银行大厦19楼,深圳市南山区麒麟路深圳直升机场,518052,姚旗,0755-26723692,0755-26723684,board@china-cohc.com,苏韶霞,,113.9309084,22.55773127,CNE0000013Q1,中信海洋直升机股份有限公司,李士林,1999/2/11 0:00,,513600000
102272,2.01E+11,100,*ST TCL,2007/12/31,计算机、通信和其他电子设备制造业,C39,广东省惠州市仲恺高新技术开发区十九号小区,广东省惠州市鹅岭南路六号TCL工业大厦九楼,516001,王红波,0755-33313811,0755-33313819,ir@tcl.com,何陟华,,114.3942423,23.07769319,CNE000001GL8,TCL集团股份有限公司,李东生,2002/4/19 0:00,,2586331144
101838,2.01E+11,150,*ST 宜地,2007/12/31,房地产业,K70,广东省汕头市澄海区文冠路北侧,汕头市金砂路汕头国际大酒店,515041,陈奕民(代),0754－5899788,0754－5890788,zqb@yihuarealestate.com,,9.14E+17,116.7042989,23.36589215,CNE0000014D7,宜华地产股份有限公司,刘绍生,1993/2/19 0:00,,324000000
101839,2.01E+11,151,中成股份,2007/12/31,其他服务业,O81,中国北京市南四环西路188号二区8号楼,中国北京市南四环西路188号二区8号楼,100070,戎蓓,010-83676100,010-83670151,complant@complant-ltd.com,,91110000710924101C,116.2861852,39.82792094,CNE0000014J4,中成进出口股份有限公司,邹宝中,1999/3/1 0:00,,295980000
101840,2.01E+11,153,丰原药业,2007/12/31,医药制造业,C27,安徽省无为县北门外大街108号,安徽省合肥市包河工业区纬四路16号,230051,张军,0551-4846018,0551-4846000,xlyyzj@163.com ;xlyyzj@sohu.com,张群山,,117.3354033,31.78590132,CNE0000014X5,安徽丰原药业股份有限公司,徐桦木,1997/8/30 0:00,,260009200
101841,2.01E+11,155,川化股份,2007/12/31,化学原料及化学制品制造业,C26,四川省成都市青白江区大弯镇团结路311号,四川省成都市青白江区大弯镇团结路311号,610301,刘勇,028-89300888,028-89301890,scc@scwltd.com,郑林,91510000202285163Q,104.2534864,30.87008,CNE0000014Z0,川化股份有限公司,苏重光,1997/10/20 0:00,,470000000
101842,2.01E+11,156,嘉瑞新材,2007/12/31,橡胶和塑料制品业,C29,湖南省洪江市安江镇大沙坪,湖南省长沙市望城坡西大门,410205,万巍,0731-4314788,0731-4315151,ss000156@163.com,匡畅,,112.9114457,28.21413551,CNE0000014L0,湖南嘉瑞新材料集团股份有限公司,王政,1994/6/30 0:00,,118935730
103592,2.01E+11,157,中联重科,2007/12/31,专用设备制造业,C35,湖南省长沙市银盆南路361号,湖南省长沙市银盆南路361号,410013,李建达,"0731-8923977,8923908",0731-8923904,157@zoomlion.com,,,112.9539839,28.22108668,CNE000001527,长沙中联重工科技发展股份有限公司,詹纯新,1999/8/1 0:00,,760500000
101684,2.01E+11,158,常山股份,2007/12/31,纺织业,C17,河北省石家庄市和平东路183号,河北省石家庄市和平东路183号,50011,李京朝,0311-86673856,0311-86673929,lijc@vip.sina.com,池俊平,91130100700715920E,114.5195627,38.05394791,CNE0000013X7,石家庄常山纺织股份有限公司,汤彰明,1998/12/29 0:00,,430000000
101705,2.01E+11,159,国际实业,2007/12/31,石油加工、炼焦及核燃料加工业,C25,乌鲁木齐市北京路钻石城1号盈科国际中心,乌鲁木齐市黄河路1号招商银行大厦11楼,830000,李润起,0991-5854232,0991-2861579,zqb@xjgjsy.com,,91650000712966815D,87.60204395,43.79271638,CNE0000014R7,新疆国际实业股份有限公司,丁治平,1999/3/28 0:00,,204552300
101795,2.01E+11,301,丝绸股份,2007/12/31,纺织业,C17,江苏省吴江市盛泽镇市场路丝绸股份大厦,江苏省吴江市盛泽镇市场路丝绸股份大厦,215228,蔡建忠,0512-63552172,0512-63552272,caijz1968@yahoo.com.cn,,91320500704043818X,120.6516046,30.89788457,CNE0000012K6,吴江丝绸股份有限公司,吴新祥,1998/7/16 0:00,,1218236445
102980,2.01E+11,338,潍柴动力,2007/12/31,汽车制造业,C36,山东省潍坊市高新技术产业开发区福寿东街197号甲,山东省潍坊市民生东街26号,261001,刘加红,"0536-2297068,2297056",0536-8197073,weichai@weichai.com,戴立新,,119.121009,36.70184723,CNE1000000D4,潍柴动力股份有限公司,谭旭光,2002/12/23 0:00,2338,520653552
102298,2.01E+11,400,许继电气,2007/12/31,电气机械及器材制造业,C38,河南省许昌市许继大道1298号,河南省许昌市许继大道1298号,461000,姚武,"0374-3212348,3212069",0374-3363549,chc@xjec.com,李维扬,,113.8060388,34.02382429,CNE0000007F6,许继电气股份有限公司,王纪年,1993/3/15 0:00,,378272000
