ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital,Website
101655,2.01E+11,27,深圳能源,2017/12/31,电力、热力生产和供应业,D44,"广东省深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层","广东省深圳市福田区深南中路2068号华能大厦5,33,35-36,38-41层",518031,邵崇,0755-83684138,0755-83684128,ir@sec.com.cn,周朝晖,91440300192241158P,114.0899644,22.54115952,CNE000000933,深圳能源集团股份有限公司,熊佩锦,1993/6/2 0:00,,3964491597,www.sec.com.cn
101656,2.01E+11,28,国药一致,2017/12/31,批发业,F51,广东省深圳市福田区八卦四路15号一致药业大厦,广东省深圳市福田区八卦四路15号一致药业大厦,518029,陈常兵,"0755-25875195,25875222",0755-25195435,gyyzinvestor@sinopharm.com,,91440300192186267U,114.1018952,22.56349773,CNE0000009N6,国药集团一致药业股份有限公司,林兆雄,1993/7/3 0:00,200028,428126983,www.szaccord.com.cn
102321,2.01E+11,29,深深房A,2017/12/31,房地产业,K70,广东省深圳市人民南路深房广场45-48楼,广东省深圳市人民南路深房广场47楼,518001,陈继,0755-82293000-4718,0755-82294024,spg@163.net,罗毅,91440300192179585N,114.1179993,22.54118228,CNE0000009X5,深圳经济特区房地产(集团)股份有限公司,周建国,1993/8/15 0:00,200029,1011660000,www.sfjt.com.cn
102341,2.01E+11,30,富奥股份,2017/12/31,汽车制造业,C36,吉林省长春市汽车经济技术开发区东风南街777号,吉林省长春市汽车经济技术开发区东风南街777号,130011,王晓平,0431-85122797,0431-85122756,000030@fawer.com.cn,王淼,91220101190325278H,125.2268082,43.84651986,CNE0000009Z0,富奥汽车零部件股份有限公司,甘先国,1993/8/28 0:00,200030,1293251508,www.fawer.com.cn
101916,2.01E+11,31,中粮地产,2017/12/31,房地产业,K70,广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,广东省深圳市福田区福华一路1号大中华国际交易广场35层,518048,宋冰心,0755-23999288,0755-23999009,cofco-property@cofco.com,范步登,9.14403E+17,114.0620199,22.53637504,CNE000000BJ5,中粮地产(集团)股份有限公司,周政,1993/9/26 0:00,,1813731596,www.cofco-property.cn
101917,2.01E+11,32,深桑达A,2017/12/31,批发业,F51,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,518057,钟彦,0755-86316073,0755-86316006,sed@sedind.com,李红梅,9.14403E+17,113.9490345,22.54085325,CNE000000BK3,深圳市桑达实业股份有限公司,周剑,1993/9/26 0:00,,422254134,www.sedind.com
101880,2.01E+11,34,神州数码,2017/12/31,批发业,F51,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,北京市海淀区上地九街九号数码科技广场,100085,王继业,010-82705411,010-82705651,dcg-ir@digitalchina.com,孙丹梅,9144030019218259X7,116.3033551,40.051211,CNE000000DQ6,神州数码集团股份有限公司,郭为,1993/12/18 0:00,,654070434,www.digitalchina.com
101881,2.01E+11,35,中国天楹,2017/12/31,生态保护和环境治理业,N77,江苏省南通市海安县城黄海大道(西)268号2幢,江苏省南通市海安县城黄海大道(西)268号,226600,程健,0513-80688810,0513-80688820,cj@ctyi.com.cn,陈云,9.13206E+17,120.4545228,32.53364193,CNE000000FN8,中国天楹股份有限公司,严圣军,1994/1/8 0:00,,1351521423,www.ctyi.com.cn
10988,2.01E+11,36,华联控股,2017/12/31,房地产业,K70,广东省深圳市深南中路2008号华联大厦11层,广东省深圳市深南中路2008号华联大厦11层,518031,孔庆富,"0755-83667450,83667257",0755-83667583,kongqf@udcgroup.com,沈华,91440300192471500W,114.0940144,22.54124952,CNE000000G13,华联控股股份有限公司,董炳根,1994/1/29 0:00,,1141487712,www.udcgroup.com
10880,2.01E+11,37,深南电A,2017/12/31,电力、热力生产和供应业,D44,广东省深圳市南山区月亮湾大道2097号,广东省深圳市南山区华侨城汉唐大厦16、17楼,518053,张杰,0755-26003611,0755-26003684,investor@nspower.com.cn,江媛媛,91440300618815121H,113.8975484,22.50791246,CNE000000G62,深圳南山热电股份有限公司,李新威,1994/4/19 0:00,200037,602762596,www.nsrd.com.cn
10881,2.01E+11,38,深大通,2017/12/31,商务服务业,L72,广东省深圳市南山区沙河街道恩平街华侨城东部工业区东E4栋,广东省深圳市南山区科苑中路15号科兴科学园B座1单元1002,518057,李雪燕,0755-26926508,0755-26910599,datongstock@163.com,吴文涛,91440300618850293F,113.9435096,22.54812865,CNE000000FR9,深圳大通实业股份有限公司,郝亮,1994/2/2 0:00,,522777419,www.chinadatong.com
10985,2.01E+11,39,中集集团,2017/12/31,金属制品业,C33,广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,518067,于玉群,0755-26691130,0755-26826579,shareholder@cimc.com,王心九,91440300618869509J,113.9118614,22.47709764,CNE000000644,中国国际海运集装箱(集团)股份有限公司,王宏,1992/9/30 0:00,2039,2982889000,www.cimc.com
10987,2.01E+11,40,东旭蓝天,2017/12/31,土木工程建筑业,E48,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,518001,柏志伟,010-68296443,010-68296443,SZ000040@dong-xu.com,刘莹,91440300192174418Y,114.1214603,22.54471528,CNE0000000D6,东旭蓝天新能源股份有限公司,朱胜利,1994/6/15 0:00,,1337173272,www.dongxulantian.com
103439,2.01E+11,42,中洲控股,2017/12/31,房地产业,K70,广东省深圳市福田区百花五路长源楼,广东省深圳市南山区海德一道88号中洲控股金融中心39层,518054,王艺瑾,0755-88393629,0755-88393600,dongshihui@zztzkg.com,黄光立,91440300192190768P,114.0898913,22.55174031,CNE000000H53,深圳市中洲投资控股股份有限公司,姚日波,1994/9/13 0:00,,664831139,www.zztzkg.com
101519,2.01E+11,43,中航地产,2017/12/31,房地产业,K70,广东省深圳市福田区振华路163号飞亚达大厦六楼,广东省深圳市福田区振华路163号飞亚达大厦六楼,518031,杨祥,0755-83244582,0755-83688903,dongm@carec.com.cn,宋丹蕾,91440300192181247M,114.0840026,22.54388907,CNE000000H95,中航地产股份有限公司,石正林,1994/9/8 0:00,,666961416,www.carec.com.cn
101184,2.01E+11,45,深纺织A,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区华强北路3号深纺大厦六楼,广东省深圳市福田区华强北路3号深纺大厦六楼,518031,姜澎,0755-83776043,0755-83776139,jiangp@chinasthc.com,李振宇,91440300192173749Y,114.0859744,22.54463952,CNE000000H61,深圳市纺织(集团)股份有限公司,朱军,1994/8/6 0:00,200045,511274149,www.chinasthc.com
101185,2.01E+11,46,泛海控股,2017/12/31,房地产业,K70,北京市东城区建国门内大街28号民生金融中心C座22层,北京市东城区建国门内大街28号民生金融中心C座22层,100005,陈怀东,010-85259601,010-85259797,chd@fhkg.com,陆洋;李秀红,9.111E+17,116.4210166,39.9076321,CNE000000123,泛海控股股份有限公司,卢志强,1989/1/4 0:00,,5196200656,www.fhkg.com
101187,2.01E+11,48,*ST 康达,2017/12/31,农副食品加工业,C13,深圳市罗湖区深南东路1086号集浩大厦二、三楼,深圳市福田区深南中路6011号NEO大厦A座24层,518048,胡琴,0755-25425020-6330,0755-25420155,a000048@126.com,,,114.1354612,22.54655204,CNE000000HD5,深圳市康达尔(集团)股份有限公司,熊伟,1994/9/17 0:00,,390768671,www.kondarl.com
107889,2.01E+11,49,德赛电池,2017/12/31,电气机械及器材制造业,C38,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,518057,王锋,0755-86299888,0755-86299889,IR@desaybattery.com,,9.14403E+17,113.9544345,22.53922325,CNE0000000F1,深圳市德赛电池科技股份有限公司,刘其,1995/2/18 0:00,,205243738,www.desaybattery.com
101178,2.01E+11,50,深天马A,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区深南中路航都大厦22层南,广东省深圳市南山区马家龙工业城64栋,518052,陈冰峡,0755-86225886,0755-86225772,sztmzq@tianma.cn,胡茜,9.14403E+17,114.0821556,22.54244907,CNE000000HT1,天马微电子股份有限公司,陈宏良,1995/2/26 0:00,,1401098744,www.tianma.com
101532,2.01E+11,55,方大集团,2017/12/31,金属制品业,C33,广东省深圳市高新技术产业园南区科技南十二路方大科技大厦,广东省深圳市高新技术产业园南区科技南十二路方大科技大厦20楼,518057,周志刚,0755-26788571-6622,0755-26788353,zqb@fangda.com,郭凌晨,91440300192448589C,113.9565756,22.5377533,CNE000000JY7,方大集团股份有限公司,熊建明,1994/3/31 0:00,200055,1183642254,www.fangda.com
101533,2.01E+11,56,皇庭国际,2017/12/31,房地产业,K70,广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元,广东省深圳市福田区金田路2028号皇岗商务中心58楼,518048,曹剑,0755-82281888,0755-82566573,cj000056@21cn.com,吴小霜,9.14403E+17,114.0646416,22.53108666,CNE000000297,深圳市皇庭国际企业股份有限公司,郑康豪,1993/3/18 0:00,200056,1175345368,www.china-ia.com
101534,2.01E+11,58,深赛格,2017/12/31,商务服务业,L72,广东省深圳市福田区华强北路群星广场A座三十一楼,广东省深圳市福田区华强北路群星广场A座三十一楼,518028,彭爱云,0755-83747939,0755-83975237,segcl@segcl.com.cn,,91440300279253776E,114.0872543,22.54814931,CNE000000NR3,深圳赛格股份有限公司,陈惠劼,1996/7/16 0:00,200058,1235656249,www.segcl.com.cn
101535,2.01E+11,59,华锦股份,2017/12/31,石油加工、炼焦及核燃料加工业,C25,辽宁省盘锦市双台子区红旗大街,辽宁省盘锦市双台子区红旗大街,124021,王维良,0427-5855742,0427-5855742,huajincorp@163.com,徐力军,91211100279309506B,122.0177826,41.19272191,CNE000000NY9,北方华锦化学工业股份有限公司,李春建,1997/1/18 0:00,,1599442537,www.huajinchem.com;xs.php?classid=31&tid=104
101551,2.01E+11,60,中金岭南,2017/12/31,有色金属冶炼及压延加工业,C32,广东省深圳市福田区深南大道6013号中国有色大厦24-26楼,广东省深圳市福田区深南大道6013号中国有色大厦24-26楼,518040,黄建民,0755-82839363,0755-83474889,dsh@nonfemet.com.cn,刘渝华,9.14403E+17,114.0268268,22.53552415,CNE000000FS7,深圳市中金岭南有色金属股份有限公司,余刚,1994/6/6 0:00,,2379790218,www.nonfemet.com
10864,2.01E+11,61,农产品,2017/12/31,商务服务业,L72,广东省深圳市罗湖区东晓街道布吉路1019号农产品批发市场第一层,广东省深圳市福田区深南大道7028号时代科技大厦13楼,518040,江疆,0755-82589021,0755-82589021,IR@szap.com,裴欣,91440300192179163P,114.0239201,22.53668483,CNE0000008V1,深圳市农产品股份有限公司,蔡颖,1994/1/19 0:00,,1696964131,www.szap.com
101552,2.01E+11,62,深圳华强,2017/12/31,批发业,F51,广东省深圳市福田区华强北路华强广场A座5楼,广东省深圳市福田区华强北路华强广场A座5楼,518028,王瑛,0755-83216296,0755-83217376,wying@szhq.com,黄辉;李茂群,91440300192255939T,114.0857944,22.54421952,CNE0000008R9,深圳华强实业股份有限公司,胡新安,1994/1/19 0:00,,721316774,www.szhq000062.com
101553,2.01E+11,63,中兴通讯,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,518057,曹巍,0755-26770282,0755-26770286,IR@zte.com.cn,徐宇龙,9144030027939873X7,113.9490665,22.53773225,CNE000000TK5,中兴通讯股份有限公司,殷一民,1997/11/11 0:00,763,4192672000,www.zte.com.cn
101554,2.01E+11,65,北方国际,2017/12/31,土木工程建筑业,E48,北京市丰台区南四环西路188号12区47号楼3层(301、302),北京市石景山区政达路6号院北方国际大厦6层及19-22层,100040,杜晓东,"010-68137506,68137370",010-68137466,bfgj@norinco-intl.com,罗乐,91110000192472028J,116.2861852,39.82792094,CNE000000VZ9,北方国际合作股份有限公司,王粤涛,1984/12/1 0:00,,513003607,www.norinco-intl.com
101661,2.01E+11,66,中国长城,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市南山区科技园长城计算机大厦,广东省深圳市南山区科技园长城计算机大厦,518057,郭镇,0755-26634759,0755-26631106,stock@greatwall.com.cn,邓文韬,91440300279351261M,113.9502035,22.54364325,CNE000000RL7,中国长城科技集团股份有限公司,靳宏荣,1997/6/21 0:00,,2944069459,www.greatwall.cn
101662,2.01E+11,68,华控赛格,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市大工业区兰竹大道以北CH3主厂房,广东省深圳市大工业区兰竹东路6号,518118,丁勤,0755-28339057,0755-89938787,qin.ding@huakongseg.com.cn,,9.14403E+17,114.3485725,22.70260823,CNE000000QV8,深圳华控赛格股份有限公司,黄俞,1997/6/6 0:00,,1006671464,www.huakongseg.com.cn
101663,2.01E+11,69,华侨城A,2017/12/31,公共设施管理业,N78,广东省深圳市南山区华侨城指挥部大楼103、105、107、111、112室,广东省深圳市南山区华侨城办公大楼,518053,关山,0755-26909069,0755-26600936,000069IR@chinaoct.com,陈兰,91440300279374105B,113.981564,22.53701926,CNE000000SS0,深圳华侨城股份有限公司,段先念,1997/9/2 0:00,,8204081415,www.octholding.com
101681,2.01E+11,70,特发信息,2017/12/31,电气机械及器材制造业,C38,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,518057,张大军,0755-26506648,0755-26506800,zhangdj@sdgi.com.cn,杨文,9.14403E+17,113.9502082,22.54994775,CNE000001238,深圳市特发信息股份有限公司,蒋勤俭,1997/7/29 0:00,,626994746,www.sdgi.com.cn
101682,2.01E+11,78,海王生物,2017/12/31,零售业,F52,广东省深圳市南山区科技中三路1号海王银河科技大厦24层,广东省深圳市南山区科技中三路1号海王银河科技大厦24层,518057,沈大凯,0755-26980336,0755-26968995,sz000078@vip.sina.com,谢德胜,91440300192444086R,113.9419479,22.54063816,CNE000000X95,深圳市海王生物工程股份有限公司,张思民,1992/12/13 0:00,,2646613257,www.neptunus.com
101671,2.01E+11,88,盐田港,2017/12/31,道路运输业,G54,广东省深圳市盐田区盐田港海港大厦十七层--二十层,广东省深圳市盐田区盐田港海港大厦十七层--二十层,518081,陈磊,0755-25290180,0755-25290932,yph000088@yantian-port.com,罗静涛,9.14403E+17,114.2536147,22.56858646,CNE000000SF7,深圳市盐田港股份有限公司,乔宏伟,1997/7/21 0:00,,1942200000,www.yantian-port.com
101672,2.01E+11,89,深圳机场,2017/12/31,航空运输业,G56,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,518128,孙郑岭,0755-23456331,0755-23456327,szjc@szairport.com,林俊,9144030027954141X0,113.8151102,22.62405192,CNE000000VK1,深圳市机场股份有限公司,罗育德,1998/4/10 0:00,,2050769509,www.szairport.com
101674,2.01E+11,90,天健集团,2017/12/31,土木工程建筑业,E48,广东省深圳市福田区滨河大道5020号证券大厦21层,广东省深圳市福田区滨河大道5020号证券大厦20、21、23、24层,518033,高建柏,"0755-82992565,82990927",0755-83990006,gaojianbo@tagen.cn,陆炜弘,91440300192251874W,114.0706806,22.52963369,CNE000000F89,深圳市天健(集团)股份有限公司,韩德宏,1993/12/6 0:00,,1197785535,www.tagen.cn
101692,2.01E+11,96,广聚能源,2017/12/31,批发业,F51,广东省深圳市南山区海德三道天利中央商务广场22楼,广东省深圳市南山区海德三道天利中央商务广场22楼,518054,嵇元弘,0755-86000096,0755-86331111,gjnygf@126.com,李涵,91440300708483247J,113.9344448,22.51834407,CNE000001410,深圳市广聚能源股份有限公司,张桂泉,1999/2/18 0:00,,528000000,www.gj000096.com
102270,2.01E+11,99,中信海直,2017/12/31,航空运输业,G56,广东省深圳市罗湖区解放西路188号,广东省深圳市南山区南海大道3533号深圳直升机场,518052,徐树田,0755-26723146,0755-26723146,xushutian@cohc.citic,王洁,91440000710924128L,113.9332484,22.55736127,CNE0000013Q1,中信海洋直升机股份有限公司,蒲坚,1999/2/11 0:00,,606070420,www.cohc.citic
102272,2.01E+11,100,TCL集团,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省惠州市仲恺高新技术开发区十九号小区,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,516001,廖骞,0755-33311666,0755-33313819,ir@tcl.com,王建勋,91441300195971850Y,114.3539557,23.02961835,CNE000001GL8,TCL集团股份有限公司,李东生,2002/4/19 0:00,,13514972063,www.tcl.com
101838,2.01E+11,150,宜华健康,2017/12/31,卫生,Q83,广东省汕头市澄海区文冠路北侧,广东省汕头市澄海区文冠路口宜都花园,515800,邱海涛,0754-85899788,0857-85890788,securities.yre@yihua.com,刘晓,9.14405E+17,116.7401702,23.4738445,CNE0000014D7,宜华健康医疗股份有限公司,陈奕民,1993/2/19 0:00,,447804877,www.yihuahealthcare.com
101839,2.01E+11,151,中成股份,2017/12/31,批发业,F51,北京市丰台区南四环西路188号二区8号楼,北京市东城区安定门西滨河路9号,100011,张朋,010-84759518,010-64218032,complant@complant-ltd.com,,91110000710924101C,116.4033845,39.95006138,CNE0000014J4,中成进出口股份有限公司,刘艳,1999/3/1 0:00,,295980000,www.complant-ltd.com
101840,2.01E+11,153,丰原药业,2017/12/31,医药制造业,C27,安徽省芜湖市无为县北门外大街108号,安徽省合肥市包河区大连路16号,230051,张军,0551-64846018,0551-64846000,xlyyzj@163.com,张群山,91340200153701860P,117.9264611,31.32435824,CNE0000014X5,安徽丰原药业股份有限公司,何宏满,1997/8/30 0:00,,317077630,www.bbcayy.com
101841,2.01E+11,155,川化股份,2017/12/31,化学原料及化学制品制造业,C26,四川省成都市青白江区大弯镇团结路311号,四川省成都市武侯区航空路1号国航世纪中心A座7层,610041,张斌,028-65258989,,zbb911@163.com,付佳,91510000202285163Q,104.0686892,30.61648525,CNE0000014Z0,川化股份有限公司,王诚,1997/10/20 0:00,,1270000000,
